longitude,latitude,elevation,StationID,Power,Quality,num_measures,recorded_tstamp,CodePrefix,CodeValue,JSON
-123.123018,49.285656,36,35976,-80.6895,-17.3695,1,12/4/2011 0:40,ABD,201256442,"{ ""StationID"" : ""35976"", ""Power"" : ""-80.6895"", ""Quality"" : ""-17.3695"" }"
-123.145315,49.261819,41,1209,-64.9538,-8.9282,2,12/4/2011 16:12,ABC,110801912,"{ ""StationID"" : ""1209"", ""Power"" : ""-64.9538"", ""Quality"" : ""-8.9282"" }"
-123.143295,49.266211,23,260,-47.1936,-7.1146,6,12/2/2011 0:15,ABC,229910614,"{ ""StationID"" : ""260"", ""Power"" : ""-47.1936"", ""Quality"" : ""-7.1146"" }"
-123.120834,49.281976,33,36116,-73.0326,-14.4528,3,12/3/2011 14:54,ABD,352965692,"{ ""StationID"" : ""36116"", ""Power"" : ""-73.0326"", ""Quality"" : ""-14.4528"" }"
-123.164842,49.259264,24,31626,-82.4604,-17.1438,2,12/3/2011 15:18,ABC,380102086,"{ ""StationID"" : ""31626"", ""Power"" : ""-82.4604"", ""Quality"" : ""-17.1438"" }"
-123.157493,49.268538,43,6205,-62.4259,-19.2403,1,12/1/2011 17:22,ABD,129303969,"{ ""StationID"" : ""6205"", ""Power"" : ""-62.4259"", ""Quality"" : ""-19.2403"" }"
-123.157075,49.272613,9,35977,-78.6206,-13.0502,1,12/4/2011 0:41,ABD,215261493,"{ ""StationID"" : ""35977"", ""Power"" : ""-78.6206"", ""Quality"" : ""-13.0502"" }"
-123.105695,49.277987,5,1329,-59.8475,-22.6228,1,12/1/2011 23:51,ABC,426545638,"{ ""StationID"" : ""1329"", ""Power"" : ""-59.8475"", ""Quality"" : ""-22.6228"" }"
-123.154971,49.272619,9,1516,-59.5857,-16.5781,35,12/1/2011 17:24,ABC,24360749,"{ ""StationID"" : ""1516"", ""Power"" : ""-59.5857"", ""Quality"" : ""-16.5781"" }"
-123.080581,49.260552,36,31336,-62.6255,-12.0836,6,12/1/2011 20:23,ABC,85117091,"{ ""StationID"" : ""31336"", ""Power"" : ""-62.6255"", ""Quality"" : ""-12.0836"" }"
-123.166442,49.262252,28,36535,-61.1073,-19.7918,1,12/2/2011 22:22,ABD,292312333,"{ ""StationID"" : ""36535"", ""Power"" : ""-61.1073"", ""Quality"" : ""-19.7918"" }"
-123.130815,49.28292,48,6401,-92.65,-10.4388,1,12/6/2011 13:39,ABD,178474368,"{ ""StationID"" : ""6401"", ""Power"" : ""-92.6500"", ""Quality"" : ""-10.4388"" }"
-123.159483,49.269122,39,32337,-63.597,-4.6913,1,12/5/2011 18:11,ABC,220958541,"{ ""StationID"" : ""32337"", ""Power"" : ""-63.5970"", ""Quality"" : ""-4.6913"" }"
-123.140799,49.272795,11,35545,-67.1645,-13.9033,1,12/7/2011 14:23,ABD,424714489,"{ ""StationID"" : ""35545"", ""Power"" : ""-67.1645"", ""Quality"" : ""-13.9033"" }"
-123.088942,49.264327,36,40488,-76.0229,-21.0719,1,12/5/2011 21:10,ABC,302989723,"{ ""StationID"" : ""40488"", ""Power"" : ""-76.0229"", ""Quality"" : ""-21.0719"" }"
-123.111785,49.265707,12,35413,-95.1409,-19.5701,1,12/1/2011 21:22,ABD,205971648,"{ ""StationID"" : ""35413"", ""Power"" : ""-95.1409"", ""Quality"" : ""-19.5701"" }"
-123.136148,49.281999,38,1479,-72.1868,-13.0086,1,12/7/2011 1:27,ABC,428466657,"{ ""StationID"" : ""1479"", ""Power"" : ""-72.1868"", ""Quality"" : ""-13.0086"" }"
-123.100777,49.284027,7,37065,-58.3681,-5.0876,2,12/1/2011 17:22,ABD,393566049,"{ ""StationID"" : ""37065"", ""Power"" : ""-58.3681"", ""Quality"" : ""-5.0876"" }"
-123.132026,49.290662,16,35602,-97.7006,-21.351,1,12/5/2011 18:14,ABD,408612902,"{ ""StationID"" : ""35602"", ""Power"" : ""-97.7006"", ""Quality"" : ""-21.3510"" }"
-123.093322,49.283801,18,36082,-84.2216,-16.2804,1,12/3/2011 15:08,ABD,118665753,"{ ""StationID"" : ""36082"", ""Power"" : ""-84.2216"", ""Quality"" : ""-16.2804"" }"
-123.120069,49.298637,6,36337,-75.9966,-13.4158,2,12/2/2011 22:21,ABD,414832630,"{ ""StationID"" : ""36337"", ""Power"" : ""-75.9966"", ""Quality"" : ""-13.4158"" }"
-123.090403,49.281165,19,31571,-61.6977,-18.5764,2,12/1/2011 20:14,ABC,275194607,"{ ""StationID"" : ""31571"", ""Power"" : ""-61.6977"", ""Quality"" : ""-18.5764"" }"
-123.123414,49.280291,32,1640,-66.7889,-14.9585,2,12/4/2011 13:47,ABC,168531594,"{ ""StationID"" : ""1640"", ""Power"" : ""-66.7889"", ""Quality"" : ""-14.9585"" }"
-123.097685,49.285151,5,30695,-57.2679,-22.5555,1,12/1/2011 23:21,ABC,31998142,"{ ""StationID"" : ""30695"", ""Power"" : ""-57.2679"", ""Quality"" : ""-22.5555"" }"
-123.085634,49.256363,49,460,-82.0128,-21.6783,1,12/4/2011 0:41,ABC,345969065,"{ ""StationID"" : ""460"", ""Power"" : ""-82.0128"", ""Quality"" : ""-21.6783"" }"
-123.109561,49.286247,8,32336,-73.4356,-5.3184,4,12/5/2011 18:14,ABC,105716445,"{ ""StationID"" : ""32336"", ""Power"" : ""-73.4356"", ""Quality"" : ""-5.3184"" }"
-123.183092,49.268581,20,1719,-62.799,-18.8995,1,12/4/2011 14:10,ABC,159016867,"{ ""StationID"" : ""1719"", ""Power"" : ""-62.7990"", ""Quality"" : ""-18.8995"" }"
